T,Hm
0.4170314247322966,22.0
0.34396218936425127,24.0
-2.1644382666049418,
-0.3563962926060416,
2.161402111881199,39.0
-0.1780662364426106,24.0
1.6598607265097571,32.0
0.24899986413703543,26.0
-0.6157475250120013,
-0.07770156233579359,20.0
-1.08312761990044,
-0.9782930827985887,
0.9465802589772958,30.0
-1.4583391390704614,
0.8056734855235914,22.0
-1.4407003100723483,
0.8009059361601427,31.0
-0.3232768006810699,
0.5867541125594249,26.0
-0.18092158578512668,
0.8735877424649041,34.0
0.21790641693453633,20.0
2.46430436681634,35.0
0.8846193723935365,29.0
0.7063654320278737,30.0
-0.6408219574897093,
0.006298685351233828,
-1.0841779848036466,
0.6670645126820277,30.0
-1.1819144295051573,
1.5193340060815612,32.0
-1.516461768262411,
1.0145390712799915,34.0
0.0973642753398474,20.0
0.5474404862292549,26.0
1.0709669574217333,34.0
-0.4298480964801243,
0.5128403102626495,26.0
0.22316755274693395,28.0
-0.03489249681884676,21.0
0.5202058324617085,26.0
0.6412815305654139,31.0
0.016611585917754548,22.0
0.7829960312605206,25.0
0.3201011951733658,20.0
-0.12361261754832228,
0.21419088775354517,22.0
0.9997165449299595,32.0
2.624054328018584,41.0
-1.0066512083387806,
0.03615482008407977,19.0
0.922937952201696,32.0
0.9474366606994027,32.0
-0.4550770396602549,
-0.4538790945071382,
-0.2952995523050559,20.0
-0.18780240801749956,
-1.1993073116732949,
2.1043500260631482,40.0
0.6881691052817003,26.0
-0.6537987656269165,
-0.6510256222197989,
-0.8390323226371919,
-0.12137121773075461,25.0
2.4687644855666266,40.0
0.45384146270751974,25.0
0.37147815727756084,30.0
-1.2161352403524817,
-1.0914124217331593,
-1.0584123934996383,
-0.15498803765101848,
0.09336473437340005,25.0
-0.4962068304524164,
-0.12949418595638484,
-1.4404490185808394,
-1.2389571947533573,
-0.4545711222287127,22.0
0.8206914491158617,29.0
0.5243375171021775,20.0
0.5009021470140311,26.0
-0.3293465164260601,
0.16914038891145164,21.0
0.12443118637989362,27.0
-1.2037728583187703,
0.6967835894197956,31.0
-0.19517010752042865,21.0
-0.37123907825877867,
0.39192476386337827,25.0
0.8593013582198221,26.0
-0.8387973167687979,
0.7797498570628466,28.0
-0.7435542363491523,
-0.7915983477313475,
1.814036391982373,37.0
-0.26076357646335285,
0.5548110410118775,27.0
-0.5341240983500415,19.0
0.9329577723921748,25.0
0.5131209578723147,24.0
0.017106540202280137,19.0
1.0373372795178952,29.0
0.6896046271473026,32.0
0.6811828924776124,24.0
1.053259983404471,33.0
-0.5398979779121599,
0.09808166516046156,24.0
0.0059373650916043005,24.0
0.13575882614855544,24.0
0.770522605988038,28.0
1.5960993103364642,35.0
1.3969592539869615,33.0
2.0187664762237576,35.0
0.23364050658317764,
0.22900111178951774,29.0
1.0862834751076358,28.0
1.2273330531583122,36.0
0.6316032961584167,23.0
0.16599371402713695,23.0
0.6944875528445177,24.0
-1.7366798904183902,
0.6214884013329559,28.0
0.2726596988090305,23.0
1.5435051791806036,34.0
1.6869721289958504,33.0
0.7307199628923904,26.0
-0.8705925044978153,
-0.40789892092287605,
0.671804227054398,32.0
-1.1245237765498546,
-0.11543174735566875,19.0
-0.2131724044132496,
1.317853109289819,34.0
0.5855991323779378,26.0
1.735938646796331,39.0
2.209398512753532,41.0
2.1173633101842575,37.0
0.2333956018600746,27.0
-0.346399692928662,19.0
0.41011382485235826,27.0
-3.0720093454192186,
0.7648012029724119,30.0
-0.8710575125301832,
-0.28134528175473666,20.0
0.9641900207474091,31.0
1.4298740883062058,34.0
0.9207465786268284,27.0
-0.6904097914357498,
0.13237444962080905,25.0
2.7252594253639253,42.0
-0.3311071591847365,20.0
0.12103542302395039,25.0
-0.08320831835846243,19.0
-0.7680393292335783,
-2.3769476504539484,
-0.8317668620293059,
-1.4072905795504285,
0.26043135395947664,21.0
0.9466343556626869,31.0
-0.537585195462927,
0.7917032216381531,31.0
0.7334874905956823,27.0
-0.299441849372867,
-1.2236353883580608,
0.16575779488611941,25.0
1.0671458882229576,33.0
0.4321297708772779,31.0
1.8779043093558339,39.0
-1.4502689656244032,
0.2679667685244756,22.0
-1.6250057891743654,
0.4248455269803218,29.0
1.2721574739206267,36.0
0.4894605011681803,29.0
1.633598888887001,32.0
0.04627561396165235,26.0
-0.7080942400562089,
-1.10078637119687,
0.8476270632752737,31.0
2.1062136832411524,35.0
-1.9789615578077233,
0.8227792299348364,25.0
-0.6399716349990169,
0.6676977140132785,27.0
0.07169432676284938,
-1.2717851035101901,
-0.6337838795305287,
0.19080594200784798,22.0
-0.28969773006585414,20.0
1.512125980222626,39.0
-0.5172105976567776,20.0
1.6571637510259376,36.0
-1.207928768931682,
-0.8278879226684746,
0.2274512761844855,20.0
-2.1119259341558685,
-0.16756394432566776,20.0
1.3704196453982391,32.0
-0.04354584592434073,23.0
1.4561434747608855,38.0
2.342605672316025,35.0
-0.14550168567087332,
0.36072195681244773,22.0
-0.336629210103612,21.0
-0.6289137262767455,
1.1921770664400753,32.0
-0.4004492916548507,
0.5797961321125207,23.0
0.6930821096672755,30.0
-1.3073139348779572,
-0.7134070938038493,19.0
-1.4843691370289545,
-0.362540219166493,25.0
0.4773134494682367,26.0
-1.4363489796132884,
0.3301065485989918,
0.3817897763089847,25.0
-0.33951943023005865,
2.1227575281602697,40.0
2.2746703627116394,40.0
-1.9475826152624702,
1.3218292894899972,37.0
0.09905389194547015,26.0
0.45251821798802055,26.0
1.6146629347351393,35.0
0.4997576541642756,27.0
0.10741977375235726,22.0
-0.36701469386826013,
-1.0970162930938125,
0.06927709453248071,24.0
-0.19706623192884637,
0.6592592658210746,28.0
0.9174280136173691,33.0
0.6096164402477728,26.0
1.2260128528289775,35.0
-1.6994808068836027,
1.3490830567280008,34.0
1.060155678296922,31.0
-1.0564446123532865,
-0.5642056140682444,
-0.41430255840479485,
2.068062988668811,37.0
0.5513539054547728,30.0
-0.033076338966999075,21.0
-0.2691144154795289,20.0
0.22436701928907257,23.0
-1.6178423464341365,
1.8973779055145537,39.0
-0.9229377494588776,20.0
