T,Hm
2.107578129969007,37.0
1.8242693943683992,
-0.03990894437408603,
-1.107916269377956,
-0.504149370379045,13.0
-0.08375934044373587,
2.9903062457030103,41.0
-1.96783170835401,
-1.4200215059933636,12.0
0.7262223089658648,
-0.7101990236175273,17.0
2.1643033171731125,39.0
0.374694188877554,29.0
0.5676152594146451,27.0
-0.9501887760321046,
0.2581318491111959,
1.3996171714685643,32.0
1.1265508828151856,
-1.207513956460612,8.0
0.8129078057832949,
-0.7867139261227042,10.0
-0.27771624425416497,
0.8745978855323162,
0.5017114934872144,
1.2179077781424672,32.0
-0.03091833486411049,
0.6836827202383882,25.0
-0.6898341930714099,8.0
0.13793090213576711,23.0
-0.5775145661228155,
2.1681992673701598,38.0
0.4981571846971826,
0.3489859004038199,
1.1482405280465775,33.0
1.464642253634049,
-0.4029181427690037,16.0
-1.1682004400399013,
-0.10436366489129448,21.0
-0.4573833487126799,19.0
-0.2503450505429177,26.0
-0.7111176518567405,
-2.0569591350979444,
-1.5362353469148833,8.0
0.4688112365832318,
0.841597976078177,25.0
-1.09753740770614,9.0
1.304177314157742,29.0
0.45413438987870186,
-0.30573886386639215,
-1.3870194197907133,9.0
-0.6999049008666586,12.0
1.01540529714106,
-0.8839694179907033,
-2.029435151441072,4.0
-0.5535415697247617,
0.1162807149644926,24.0
-0.6087899580898595,16.0
-0.9304020529325242,
0.058010336115125766,
-1.212155381739764,
0.4357878186939886,
-0.7035655450431083,
-0.8272753027954687,11.0
0.2143370072367411,25.0
-0.3541416625739694,12.0
0.26781665807722627,25.0
0.05293742257167488,23.0
-0.8910408559714031,
-0.22357903339445948,
0.8077799418329807,
-0.20583787334978926,
1.7737156313301725,
-2.2711346318333376,2.0
-0.4205859093731424,
0.2520402632510226,27.0
1.2382326398676884,
-1.7257692884143825,
-0.08961549805802725,23.0
0.84203227141492,27.0
-0.5529268457945706,
0.7470208846053511,
-1.7869827300504715,
0.0009881574116269482,19.0
1.0892615295536783,35.0
-1.5464165356860085,5.0
-0.1870422328719776,13.0
1.2499641076496328,32.0
1.0123420004323498,31.0
0.0568718868312805,20.0
1.0543809956975614,33.0
-0.29182311628196,
0.659219398208211,28.0
0.8754590969214094,29.0
1.7276576294891395,
-0.45047299163927457,14.0
-0.8633307996465486,
1.129758817985223,35.0
1.6328262687801283,36.0
-0.2993060084834723,
0.7382732713383989,
-0.9460355891545648,11.0
-0.8378411858950073,10.0
-0.25072373568362355,21.0
0.5089164897913382,23.0
-0.4595109657778826,
-2.3905376229490622,1.0
1.1031193652896634,
-0.8373591396532243,10.0
-0.212972424740555,
0.6346889614289807,
-0.4895144549322127,
0.058123334499556444,19.0
1.751810804651877,
1.6980954667500028,
-0.8228849801348083,10.0
-0.440476610088883,22.0
-1.3637146850680617,
-0.7403370856968882,
-0.8440923641320393,
-0.06741517118331322,
-0.21536975617421822,
-0.26446088366350956,20.0
-0.49490218577176687,19.0
-1.2003506109861275,
-1.0966124454094353,
-1.9443308846448089,4.0
1.4693239942954925,
0.5955640573962476,27.0
1.5888161674262642,
0.5048902673785358,30.0
-1.9979414931336583,4.0
0.8299928724248977,31.0
-1.6895253694406238,
-0.6835744684801038,
-0.13077539881907496,
0.5021053938228863,
-0.41934443871756777,15.0
-0.6268342890848195,11.0
-0.23809390986825535,24.0
0.8407150591713463,31.0
0.2819634852493328,
2.6474596605278284,39.0
-1.7455394586298723,
0.8455225240675315,
-0.42672646467245534,14.0
0.4614427489416591,29.0
-0.5248458922301747,11.0
-0.008317562053590926,23.0
-0.8921686979543257,13.0
0.2285248642575664,
-0.6666160826326857,15.0
0.2242286535067615,19.0
-0.41446251801877254,
1.2706892231020395,31.0
-1.0286454149311322,
-0.6385595418810982,
-1.047710984892475,
-0.5390981677897688,
-0.696521336900121,8.0
-1.4470630791201957,
1.0238489069203014,24.0
0.8883787275744939,31.0
-0.7125936833987673,11.0
-0.28860247778132436,
1.4138503198790169,
-1.6953765508398662,
-0.28719499417653443,
-0.12853309439588576,19.0
-0.7896507240216569,
0.5643446617448795,23.0
0.1662550099141111,
-1.1423846711478454,
0.09938492758328266,
2.3624232173378616,
-1.0765730201643868,
-1.2907158360302793,11.0
-0.4193293222417395,19.0
-0.3384546176650281,13.0
-3.0135969880224596,
-0.032938544737060566,22.0
1.233413475595191,34.0
1.4031392482279579,
-1.3350720380810033,3.0
-0.8982359526543481,
0.587195902774736,
-1.2350677288555467,14.0
0.38302828111588055,
-0.7999254189783962,
-0.23949965476219465,19.0
0.26206059055657044,
-0.17606583792182315,
1.1951035886418055,
0.8149262110395618,
1.7426253184921925,36.0
0.038268127895990836,
-1.1224058601550633,7.0
-0.32218250869803017,20.0
0.2606139357604153,25.0
-1.201659465484652,
0.8800958467058869,
0.0450865560867948,25.0
0.40547389732562095,25.0
-0.009000743447440845,
0.9145761968110055,
-1.4817710858604112,
-0.6554052068777754,18.0
-0.17057375065139535,24.0
-0.8386742328028537,
1.9877650808221012,36.0
0.5896875576099926,
-1.2642521506627433,
-1.875044011176613,11.0
1.2897670070319591,35.0
-0.14283908914438384,
-3.025978540642936,
-1.137508603380353,6.0
-1.3168208711280405,9.0
-1.3731411446527864,
0.09456400900059625,19.0
-0.0029068794155379715,
0.022550532616623646,
-1.650963651993955,
-0.06405053937005258,
-1.509133060322501,
-1.5513710059798271,6.0
-1.0597375952772037,12.0
-0.8291546162801586,
1.352845935486127,
-0.5001339262941455,
0.5838915916035251,
0.3306879252535208,
-2.654763614394528,0.0
-0.12294735589243426,
-0.7489793691403924,
-0.07986027591815216,20.0
-1.2869647137895643,11.0
-0.33927956737423454,18.0
1.5821149169731406,38.0
0.7035629417474839,
-0.6924520325343159,
-1.3844611019086417,
-0.6182000237840538,
-0.9575756123699141,
0.06538178184041589,
-0.33469157602588867,
-0.04199241584699227,16.0
-0.2672697595304327,
-0.7644519978531574,11.0
0.2012129733864721,18.0
0.10001182522721509,23.0
-0.8050649379106353,
1.2888821947341866,
-0.6026697924000607,15.0
0.084915843523444,22.0
0.3147359916789856,21.0
-0.8694595746462048,8.0
-0.7879963160093935,16.0
-0.1250165097166977,16.0
-0.6918082363126822,21.0
-0.20738949542056073,
0.5100217343941349,28.0
0.0338394912127115,23.0
0.9950728193428354,
-1.7397329651950253,3.0
1.1379077436332043,28.0
1.3589645014975122,
0.39337263082892515,
-1.0224611147093465,6.0
0.6410898560205747,35.0
-1.3695474144627915,
0.9009679167281496,31.0
-0.43926151407582054,
1.3264627821129253,
-0.6725243895122708,8.0
0.3012727848987299,27.0
0.6756915243753536,32.0
-1.3104789338516474,13.0
0.2675636869772087,27.0
0.5720607690335159,18.0
0.32628436125894617,
1.1391270884709572,40.0
-1.9443752990907848,4.0
1.2019090045942593,28.0
-1.8630763781859256,6.0
0.6502720461893046,33.0
-1.118215088169164,13.0
-0.8005097055159827,19.0
0.28624710273518594,26.0
-2.117397524726544,
0.6972972523486872,32.0
1.3766100153565624,28.0
-0.015996902928434156,23.0
0.42062431954820184,
-0.47293673421225496,
0.36542804088649156,24.0
0.1851225968912769,23.0
-0.20185060745622888,
-0.07878235027811704,
1.0303394826522383,
-0.6506221234430138,
1.5347780910821953,
-0.4358237922555015,
-0.17005267103540941,
1.0491235438215059,
-1.4711046484794046,9.0
-0.6017234571548095,13.0
0.14945329585352132,26.0
-0.4239665106545964,16.0
-0.21232057283198552,12.0
1.0955450406451954,
-1.0545080480539983,14.0
-1.0529105194116795,
-0.9100059506438586,
-1.122761389861102,13.0
0.16534707420570505,
-0.5653634056834764,
1.1517877173117095,31.0
-0.685085233328563,
0.34339664153958543,
0.013673251874668578,20.0
0.11263055578437392,
-0.2591658520780477,
0.0985685316769371,23.0
0.16036243570058878,24.0
-1.5220367546076579,
1.4005138825107668,
0.9843634697989035,34.0
-0.15415105443971308,22.0
-0.6148004008217046,
-1.2803131151372167,
-1.036046811506656,10.0
0.8486385646316857,
-0.3564338240993686,19.0
-0.07748809880628207,
-0.07411941152364515,
2.7142886560932133,38.0
-1.1249496082448982,
-0.09243403014815667,
0.4814174695239858,24.0
0.5912367466993992,25.0
0.2701119432033642,
-2.5943767493456873,
1.2299300214020414,
0.17053227080724295,18.0
-0.8676653748362037,9.0
1.3615859722600696,37.0
0.4806060916006715,
1.07746168820362,27.0
-0.038257836779311966,
0.21456508531852556,
0.6237663826788764,
0.6305833881784423,30.0
0.748136407342246,32.0
0.2815304864555744,
-1.0477742452512253,
-0.07595382393034068,
-0.4644238764322354,19.0
-0.7869460000335288,9.0
0.14958052062334656,
0.1060513835685141,
-0.5874314683042623,
-0.8479060180770197,15.0
0.4111206090276513,
0.943662872932688,31.0
0.6238646384104756,
0.20430368184476272,
-0.001271937993624453,24.0
-0.18152299747581319,15.0
-0.6406576301962372,15.0
1.3243416547866036,
-0.36227753401725155,
-0.534746844076856,
-0.12876621969488564,23.0
-2.0203811081688574,4.0
0.8527956232941099,32.0
0.48756692445947464,27.0
